bank_name,review_text,rating,sentiment_score,review_date,thumbs_up,text_length,word_count,source,app_version,sentiment_label,month
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,4,0.526,2025-04-29,5,69,11,Google Play Store,2.4.99,positive,2025-04
Commercial Bank of Ethiopia,Highly recommended for fast money transfer.,5,0.906,2025-11-17,1,43,6,Google Play Store,1.3.23,positive,2025-11
Bank of Abyssinia,Highly recommended for secure transactions.,5,0.591,2025-09-29,3,43,5,Google Play Store,3.1.34,positive,2025-09
Commercial Bank of Ethiopia,slow loading time is making the app unusable.,2,-0.794,2025-05-21,1,45,8,Google Play Store,3.7.35,negative,2025-05
Bank of Abyssinia,poor connectivity is making the app unusable.,1,-0.485,2025-10-28,1,45,7,Google Play Store,4.6.61,negative,2025-10
Bank of Abyssinia,The app works perfectly for secure transactions.,5,0.957,2025-10-02,3,48,7,Google Play Store,4.8.18,positive,2025-10
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,5,1.0,2025-09-25,3,45,10,Google Play Store,3.8.38,positive,2025-09
Commercial Bank of Ethiopia,Excellent experience with good customer support.,5,0.512,2025-04-12,7,48,6,Google Play Store,1.1.26,positive,2025-04
Dashen Bank,Highly recommended for good security.,5,0.429,2025-07-11,4,37,5,Google Play Store,1.5.38,positive,2025-07
Bank of Abyssinia,"Frustrated with transaction failures, needs immediate attention.",1,-1.0,2025-10-06,3,64,7,Google Play Store,3.8.62,negative,2025-10
Bank of Abyssinia,Bank of Abyssinia has the best helpful support team feature.,5,1.0,2025-06-13,0,60,10,Google Play Store,1.5.84,positive,2025-06
Awash Bank,The app works perfectly for easy registration.,5,0.658,2025-07-13,4,46,7,Google Play Store,4.9.95,positive,2025-07
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,5,0.479,2025-07-20,2,61,11,Google Play Store,1.3.63,positive,2025-07
Bank of Abyssinia,Bank of Abyssinia has the best user-friendly interface feature.,5,0.605,2025-10-18,2,63,9,Google Play Store,1.8.65,positive,2025-10
Commercial Bank of Ethiopia,The app keeps having problems with app crashes frequently.,1,-0.584,2025-04-08,0,58,9,Google Play Store,1.9.62,negative,2025-04
Commercial Bank of Ethiopia,app crashes frequently is making the app unusable.,1,-0.673,2025-01-26,5,50,8,Google Play Store,1.9.73,negative,2025-01
Commercial Bank of Ethiopia,Highly recommended for good customer support.,4,0.426,2025-02-18,0,45,6,Google Play Store,3.7.38,positive,2025-02
Bank of Abyssinia,The app works perfectly for smooth experience.,5,1.0,2025-04-25,5,46,7,Google Play Store,3.2.37,positive,2025-04
Bank of Abyssinia,buggy updates is making the app unusable.,2,-0.7,2025-01-29,1,41,7,Google Play Store,3.6.50,negative,2025-01
Bank of Abyssinia,Disappointed with transaction failures issues.,2,-0.842,2025-09-25,2,46,5,Google Play Store,3.2.22,negative,2025-09
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,0.58,2025-05-22,5,39,6,Google Play Store,2.5.20,positive,2025-05
Bank of Abyssinia,I love how easy it is to do user-friendly interface.,5,0.792,2025-09-21,1,52,10,Google Play Store,2.7.93,positive,2025-09
Commercial Bank of Ethiopia,Excellent experience with fast money transfer.,5,0.257,2025-05-10,4,46,6,Google Play Store,2.9.13,positive,2025-05
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best reliable service feature.,5,0.782,2025-02-12,2,66,10,Google Play Store,1.9.38,positive,2025-02
Commercial Bank of Ethiopia,Highly recommended for fast money transfer.,4,0.64,2025-09-26,4,43,6,Google Play Store,3.7.39,positive,2025-09
Bank of Abyssinia,I love how easy it is to do helpful support team.,5,0.6,2025-01-22,3,49,11,Google Play Store,2.5.3,positive,2025-01
Dashen Bank,Excellent experience with innovative features.,4,1.0,2025-10-24,5,46,5,Google Play Store,2.0.93,positive,2025-10
Commercial Bank of Ethiopia,slow loading time is making the app unusable.,1,-0.137,2025-07-23,0,45,8,Google Play Store,2.3.18,negative,2025-07
Commercial Bank of Ethiopia,connection errors is making the app unusable.,2,-0.469,2025-01-04,1,45,7,Google Play Store,2.7.9,negative,2025-01
Bank of Abyssinia,The app works perfectly for smooth experience.,5,0.503,2025-01-08,4,46,7,Google Play Store,1.4.61,positive,2025-01
Dashen Bank,Dashen Bank has the best modern design feature.,5,1.0,2025-12-02,4,47,8,Google Play Store,2.2.84,positive,2025-12
Commercial Bank of Ethiopia,Highly recommended for fast money transfer.,5,0.883,2025-02-10,5,43,6,Google Play Store,1.8.16,positive,2025-02
Dashen Bank,Excellent experience with quick setup.,5,0.814,2025-09-27,2,38,5,Google Play Store,3.0.93,positive,2025-09
Dashen Bank,complex navigation is making the app unusable.,1,-0.89,2025-03-24,0,46,7,Google Play Store,2.9.4,negative,2025-03
Dashen Bank,Highly recommended for good security.,4,0.945,2025-06-02,4,37,5,Google Play Store,3.2.35,positive,2025-06
Bank of Abyssinia,I love how easy it is to do helpful support team.,4,0.861,2025-04-29,3,49,11,Google Play Store,4.3.67,positive,2025-04
Dashen Bank,I love how easy it is to do quick setup.,5,0.792,2025-10-13,4,40,10,Google Play Store,1.9.35,positive,2025-10
Commercial Bank of Ethiopia,The app keeps having problems with connection errors.,1,-0.219,2025-05-15,1,53,8,Google Play Store,1.2.62,negative,2025-05
Bank of Abyssinia,"Frustrated with buggy updates, needs immediate attention.",1,-0.169,2025-07-28,0,57,7,Google Play Store,4.2.53,negative,2025-07
Commercial Bank of Ethiopia,Highly recommended for fast money transfer.,5,0.709,2025-07-06,1,43,6,Google Play Store,1.6.80,positive,2025-07
Awash Bank,The app works perfectly for helpful customer service.,4,0.572,2025-04-23,2,53,8,Google Play Store,3.0.44,positive,2025-04
Commercial Bank of Ethiopia,"Frustrated with login problems, needs immediate attention.",1,-0.539,2025-08-12,1,58,7,Google Play Store,3.3.0,negative,2025-08
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,4,0.925,2025-09-07,5,45,10,Google Play Store,3.7.53,positive,2025-09
Commercial Bank of Ethiopia,Excellent experience with easy to use.,5,0.983,2025-09-16,5,38,6,Google Play Store,3.1.6,positive,2025-09
Bank of Abyssinia,Disappointed with buggy updates issues.,1,-0.319,2025-09-12,2,39,5,Google Play Store,2.1.66,negative,2025-09
Bank of Abyssinia,The app works perfectly for helpful support team.,5,0.93,2024-12-13,4,49,8,Google Play Store,2.6.95,positive,2024-12
Bank of Abyssinia,The app works perfectly for user-friendly interface.,5,0.592,2025-04-01,2,52,7,Google Play Store,1.1.86,positive,2025-04
Bank of Abyssinia,"Frustrated with transaction failures, needs immediate attention.",2,-0.632,2025-07-03,1,64,7,Google Play Store,1.9.85,negative,2025-07
Commercial Bank of Ethiopia,Please fix the update issues problem!,1,-0.239,2025-06-13,1,37,6,Google Play Store,2.9.45,negative,2025-06
Commercial Bank of Ethiopia,Excellent experience with convenient.,4,0.864,2025-07-07,8,37,4,Google Play Store,4.0.35,positive,2025-07
Bank of Abyssinia,Highly recommended for secure transactions.,5,1.0,2025-05-16,2,43,5,Google Play Store,1.0.88,positive,2025-05
Dashen Bank,Highly recommended for modern design.,4,0.618,2025-08-23,2,37,5,Google Play Store,3.0.60,positive,2025-08
Dashen Bank,sync issues is making the app unusable.,1,-0.561,2025-07-07,2,39,7,Google Play Store,4.8.81,negative,2025-07
Bank of Abyssinia,I love how easy it is to do secure transactions.,5,1.0,2025-02-24,2,48,10,Google Play Store,1.6.8,positive,2025-02
Commercial Bank of Ethiopia,Excellent experience with convenient.,5,0.633,2025-08-22,0,37,4,Google Play Store,3.7.98,positive,2025-08
Bank of Abyssinia,Bank of Abyssinia has the best helpful support team feature.,5,1.0,2025-11-29,5,60,10,Google Play Store,3.2.41,positive,2025-11
Awash Bank,Excellent experience with useful features.,5,0.319,2025-02-04,4,42,5,Google Play Store,4.8.9,positive,2025-02
Commercial Bank of Ethiopia,Excellent experience with fast money transfer.,5,0.758,2025-06-28,5,46,6,Google Play Store,3.0.87,positive,2025-06
Commercial Bank of Ethiopia,update issues is making the app unusable.,1,-0.236,2025-04-21,0,41,7,Google Play Store,4.3.58,negative,2025-04
Bank of Abyssinia,"Frustrated with high fees, needs immediate attention.",2,-1.0,2025-01-24,0,53,7,Google Play Store,1.9.2,negative,2025-01
Dashen Bank,complex navigation is making the app unusable.,1,-0.504,2025-04-06,0,46,7,Google Play Store,2.2.49,negative,2025-04
Bank of Abyssinia,Please fix the transaction failures problem!,1,-0.306,2025-01-08,2,44,6,Google Play Store,4.2.91,negative,2025-01
Bank of Abyssinia,The app works perfectly for secure transactions.,4,1.0,2025-04-21,2,48,7,Google Play Store,1.9.17,positive,2025-04
Commercial Bank of Ethiopia,I love how easy it is to do fast money transfer.,4,0.895,2025-04-23,7,48,11,Google Play Store,4.7.91,positive,2025-04
Dashen Bank,Please fix the complex navigation problem!,2,-0.408,2025-05-26,1,42,6,Google Play Store,1.9.30,negative,2025-05
Dashen Bank,I love how easy it is to do quick setup.,5,0.763,2025-05-11,2,40,10,Google Play Store,1.0.16,positive,2025-05
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,5,0.337,2025-01-18,3,45,10,Google Play Store,4.3.67,positive,2025-01
Commercial Bank of Ethiopia,"Frustrated with app crashes frequently, needs immediate attention.",1,-1.0,2025-05-07,4,66,8,Google Play Store,1.6.28,negative,2025-05
Commercial Bank of Ethiopia,I love how easy it is to do easy to use.,5,0.639,2025-04-21,3,40,11,Google Play Store,3.3.31,positive,2025-04
Commercial Bank of Ethiopia,Disappointed with app crashes frequently issues.,1,-0.627,2025-11-12,4,48,6,Google Play Store,3.0.57,negative,2025-11
Dashen Bank,Dashen Bank has the best innovative features feature.,4,0.589,2025-05-09,2,53,8,Google Play Store,1.4.7,positive,2025-05
Dashen Bank,Disappointed with sync issues issues.,2,-0.555,2025-01-21,1,37,5,Google Play Store,3.8.93,negative,2025-01
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.768,2025-08-08,3,69,11,Google Play Store,1.1.93,positive,2025-08
Commercial Bank of Ethiopia,The app works perfectly for good customer support.,4,0.938,2025-08-23,4,50,8,Google Play Store,2.5.85,positive,2025-08
Commercial Bank of Ethiopia,I love how easy it is to do fast money transfer.,5,0.981,2025-04-14,1,48,11,Google Play Store,4.9.21,positive,2025-04
Commercial Bank of Ethiopia,"Frustrated with slow loading time, needs immediate attention.",2,-0.994,2025-02-01,1,61,8,Google Play Store,3.5.8,negative,2025-02
Awash Bank,I love how easy it is to do useful features.,5,0.771,2025-09-10,2,44,10,Google Play Store,4.3.5,positive,2025-09
Dashen Bank,Excellent experience with modern design.,5,0.982,2025-11-21,1,40,5,Google Play Store,1.2.18,positive,2025-11
Awash Bank,Excellent experience with stable performance.,5,0.344,2025-05-06,4,45,5,Google Play Store,3.5.62,positive,2025-05
Commercial Bank of Ethiopia,Please fix the slow loading time problem!,2,-0.814,2025-02-13,0,41,7,Google Play Store,4.3.59,negative,2025-02
Commercial Bank of Ethiopia,"Frustrated with connection errors, needs immediate attention.",1,-0.558,2025-09-28,2,61,7,Google Play Store,3.2.57,negative,2025-09
Awash Bank,The app works perfectly for stable performance.,5,0.688,2025-11-25,4,47,7,Google Play Store,1.4.37,positive,2025-11
Bank of Abyssinia,The app works perfectly for smooth experience.,5,1.0,2025-04-16,3,46,7,Google Play Store,1.4.64,positive,2025-04
Dashen Bank,I love how easy it is to do quick setup.,5,1.0,2025-03-08,3,40,10,Google Play Store,1.3.7,positive,2025-03
Bank of Abyssinia,transaction failures is making the app unusable.,1,-0.904,2025-05-13,2,48,7,Google Play Store,4.5.60,negative,2025-05
Commercial Bank of Ethiopia,Please fix the slow loading time problem!,1,-0.922,2025-10-29,2,41,7,Google Play Store,1.2.77,negative,2025-10
Bank of Abyssinia,I love how easy it is to do helpful support team.,5,0.781,2025-02-21,5,49,11,Google Play Store,4.3.79,positive,2025-02
Awash Bank,Please fix the notification delays problem!,1,-0.921,2025-11-28,1,43,6,Google Play Store,1.6.89,negative,2025-11
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.429,2024-12-23,4,69,11,Google Play Store,1.8.89,positive,2024-12
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,5,0.982,2025-03-09,5,48,8,Google Play Store,2.2.69,positive,2025-03
Awash Bank,The app keeps having problems with outdated interface.,2,-0.816,2025-09-29,0,54,8,Google Play Store,3.4.18,negative,2025-09
Commercial Bank of Ethiopia,I love how easy it is to do convenient.,5,0.566,2025-08-15,8,39,9,Google Play Store,1.1.47,positive,2025-08
Bank of Abyssinia,I love how easy it is to do helpful support team.,5,1.0,2025-11-12,1,49,11,Google Play Store,3.4.14,positive,2025-11
Commercial Bank of Ethiopia,"Frustrated with login problems, needs immediate attention.",2,-1.0,2025-10-12,2,58,7,Google Play Store,4.9.35,negative,2025-10
Dashen Bank,Excellent experience with modern design.,5,1.0,2025-08-17,3,40,5,Google Play Store,2.9.55,positive,2025-08
Awash Bank,Highly recommended for useful features.,5,0.985,2025-07-15,4,39,5,Google Play Store,2.7.41,positive,2025-07
Awash Bank,Excellent experience with easy registration.,5,0.595,2025-06-19,2,44,5,Google Play Store,1.6.68,positive,2025-06
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,1,-0.256,2025-06-26,1,46,7,Google Play Store,1.8.24,negative,2025-06
Awash Bank,Highly recommended for easy registration.,5,0.921,2025-04-06,0,41,5,Google Play Store,4.2.67,positive,2025-04
Dashen Bank,Highly recommended for good security.,4,0.738,2025-09-21,2,37,5,Google Play Store,4.0.59,positive,2025-09
Commercial Bank of Ethiopia,slow loading time is making the app unusable.,1,-0.855,2025-10-06,0,45,8,Google Play Store,2.1.86,negative,2025-10
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best convenient feature.,5,1.0,2025-01-04,3,60,9,Google Play Store,2.8.54,positive,2025-01
Dashen Bank,Highly recommended for good security.,5,0.818,2025-08-10,5,37,5,Google Play Store,2.5.81,positive,2025-08
Dashen Bank,"Frustrated with sync issues, needs immediate attention.",1,-0.683,2025-02-14,0,55,7,Google Play Store,2.1.84,negative,2025-02
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best easy to use feature.,5,0.87,2025-03-16,6,61,11,Google Play Store,2.2.29,positive,2025-03
Dashen Bank,The app keeps having problems with sync issues.,2,-0.428,2025-06-23,0,47,8,Google Play Store,2.2.81,negative,2025-06
Awash Bank,The app works perfectly for helpful customer service.,5,1.0,2025-03-08,3,53,8,Google Play Store,3.8.5,positive,2025-03
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,4,0.279,2025-11-21,4,69,11,Google Play Store,4.5.31,positive,2025-11
Commercial Bank of Ethiopia,Highly recommended for reliable service.,4,0.954,2025-03-12,3,40,5,Google Play Store,3.8.86,positive,2025-03
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best reliable service feature.,5,0.483,2025-03-18,6,66,10,Google Play Store,3.4.62,positive,2025-03
Bank of Abyssinia,Highly recommended for helpful support team.,5,0.71,2025-07-23,0,44,6,Google Play Store,2.4.78,positive,2025-07
Bank of Abyssinia,Please fix the transaction failures problem!,2,-0.854,2025-05-04,0,44,6,Google Play Store,1.3.80,negative,2025-05
Commercial Bank of Ethiopia,I love how easy it is to do good customer support.,5,0.602,2025-10-30,3,50,11,Google Play Store,4.5.41,positive,2025-10
Dashen Bank,The app keeps having problems with complex navigation.,2,-0.184,2025-10-04,0,54,8,Google Play Store,1.9.57,negative,2025-10
Commercial Bank of Ethiopia,The app keeps having problems with login problems.,1,-0.298,2024-12-25,1,50,8,Google Play Store,4.0.86,negative,2024-12
Bank of Abyssinia,Excellent experience with user-friendly interface.,5,0.389,2025-07-04,0,50,5,Google Play Store,4.4.57,positive,2025-07
Bank of Abyssinia,Disappointed with buggy updates issues.,2,-0.295,2025-03-17,2,39,5,Google Play Store,2.5.95,negative,2025-03
Bank of Abyssinia,"Frustrated with transaction failures, needs immediate attention.",1,-0.371,2025-10-15,0,64,7,Google Play Store,4.8.40,negative,2025-10
Awash Bank,Awash Bank has the best useful features feature.,5,1.0,2025-03-20,5,48,8,Google Play Store,3.0.39,positive,2025-03
Bank of Abyssinia,The app works perfectly for helpful support team.,5,0.65,2025-05-04,2,49,8,Google Play Store,1.2.31,positive,2025-05
Commercial Bank of Ethiopia,Please fix the connection errors problem!,1,-0.926,2025-07-30,3,41,6,Google Play Store,3.5.21,negative,2025-07
Awash Bank,Please fix the outdated interface problem!,1,-0.943,2025-02-23,2,42,6,Google Play Store,4.5.42,negative,2025-02
Dashen Bank,Please fix the error messages problem!,1,-0.671,2025-08-17,2,38,6,Google Play Store,2.9.15,negative,2025-08
Dashen Bank,"Frustrated with error messages, needs immediate attention.",1,-0.259,2025-11-23,3,58,7,Google Play Store,4.8.35,negative,2025-11
Commercial Bank of Ethiopia,"Frustrated with app crashes frequently, needs immediate attention.",2,-0.966,2025-11-13,0,66,8,Google Play Store,3.6.69,negative,2025-11
Dashen Bank,"Frustrated with sync issues, needs immediate attention.",1,-0.653,2025-04-20,0,55,7,Google Play Store,2.4.53,negative,2025-04
Bank of Abyssinia,Highly recommended for user-friendly interface.,5,0.824,2025-08-06,3,47,5,Google Play Store,2.6.3,positive,2025-08
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best convenient feature.,5,0.776,2025-01-18,1,60,9,Google Play Store,1.9.30,positive,2025-01
Dashen Bank,The app works perfectly for innovative features.,4,0.575,2025-08-09,2,48,7,Google Play Store,1.5.44,positive,2025-08
Commercial Bank of Ethiopia,Excellent experience with convenient.,4,0.819,2025-09-04,2,37,4,Google Play Store,2.2.76,positive,2025-09
Dashen Bank,Highly recommended for quick setup.,5,0.954,2025-10-29,4,35,5,Google Play Store,2.4.99,positive,2025-10
Commercial Bank of Ethiopia,The app works perfectly for fast money transfer.,5,0.784,2025-02-09,2,48,8,Google Play Store,3.3.23,positive,2025-02
Bank of Abyssinia,Bank of Abyssinia has the best helpful support team feature.,4,0.609,2025-04-27,5,60,10,Google Play Store,1.3.55,positive,2025-04
Commercial Bank of Ethiopia,The app works perfectly for easy to use.,5,0.881,2025-09-24,1,40,8,Google Play Store,4.3.87,positive,2025-09
Bank of Abyssinia,The app keeps having problems with poor connectivity.,1,-1.0,2025-11-12,0,53,8,Google Play Store,3.6.89,negative,2025-11
Commercial Bank of Ethiopia,The app works perfectly for convenient.,5,0.502,2025-06-25,1,39,6,Google Play Store,2.8.70,positive,2025-06
Bank of Abyssinia,I love how easy it is to do smooth experience.,4,1.0,2025-09-08,4,46,10,Google Play Store,1.1.21,positive,2025-09
Dashen Bank,Disappointed with complex navigation issues.,1,-0.815,2025-02-12,2,44,5,Google Play Store,3.0.63,negative,2025-02
Commercial Bank of Ethiopia,Please fix the update issues problem!,2,-0.537,2025-08-09,1,37,6,Google Play Store,1.7.57,negative,2025-08
Dashen Bank,Dashen Bank has the best quick setup feature.,4,0.854,2025-04-20,3,45,8,Google Play Store,3.4.50,positive,2025-04
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.358,2025-09-22,4,69,11,Google Play Store,4.5.11,positive,2025-09
Commercial Bank of Ethiopia,The app works perfectly for reliable service.,5,0.67,2025-11-25,3,45,7,Google Play Store,2.5.18,positive,2025-11
Dashen Bank,Please fix the error messages problem!,2,-0.5,2025-11-12,1,38,6,Google Play Store,4.5.94,negative,2025-11
Bank of Abyssinia,The app works perfectly for smooth experience.,4,1.0,2025-07-02,2,46,7,Google Play Store,1.8.49,positive,2025-07
Commercial Bank of Ethiopia,Disappointed with update issues issues.,2,-0.242,2025-05-01,2,39,5,Google Play Store,2.4.27,negative,2025-05
Dashen Bank,Excellent experience with innovative features.,4,0.577,2025-01-23,6,46,5,Google Play Store,1.3.15,positive,2025-01
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia has the best fast money transfer feature.,5,0.271,2025-03-31,4,69,11,Google Play Store,3.4.98,positive,2025-03
Dashen Bank,The app works perfectly for innovative features.,5,1.0,2025-01-04,3,48,7,Google Play Store,3.1.45,positive,2025-01
Bank of Abyssinia,high fees is making the app unusable.,1,-0.656,2025-02-25,1,37,7,Google Play Store,2.6.21,negative,2025-02
Dashen Bank,Dashen Bank has the best innovative features feature.,5,0.984,2025-01-10,5,53,8,Google Play Store,4.5.52,positive,2025-01
Bank of Abyssinia,Bank of Abyssinia has the best smooth experience feature.,4,0.584,2025-05-14,1,57,9,Google Play Store,2.8.67,positive,2025-05
Commercial Bank of Ethiopia,Please fix the app crashes frequently problem!,1,-0.184,2025-06-28,1,46,7,Google Play Store,2.1.84,negative,2025-06
Bank of Abyssinia,Highly recommended for user-friendly interface.,5,0.993,2025-01-13,3,47,5,Google Play Store,3.7.75,positive,2025-01
Awash Bank,Highly recommended for useful features.,5,0.311,2025-11-12,4,39,5,Google Play Store,4.3.21,positive,2025-11
Dashen Bank,The app keeps having problems with error messages.,1,-0.862,2025-09-07,1,50,8,Google Play Store,2.0.60,negative,2025-09
Bank of Abyssinia,The app works perfectly for user-friendly interface.,4,0.511,2025-04-06,4,52,7,Google Play Store,1.5.48,positive,2025-04
Commercial Bank of Ethiopia,Highly recommended for easy to use.,4,0.361,2025-05-25,4,35,6,Google Play Store,1.0.87,positive,2025-05
Bank of Abyssinia,poor connectivity is making the app unusable.,1,-0.744,2025-01-04,1,45,7,Google Play Store,4.2.75,negative,2025-01
Dashen Bank,Please fix the complex navigation problem!,2,-0.802,2025-03-28,2,42,6,Google Play Store,2.6.48,negative,2025-03
Bank of Abyssinia,Disappointed with buggy updates issues.,1,-1.0,2025-07-09,1,39,5,Google Play Store,1.0.75,negative,2025-07
Commercial Bank of Ethiopia,I love how easy it is to do fast money transfer.,5,1.0,2025-01-06,2,48,11,Google Play Store,1.8.38,positive,2025-01
Dashen Bank,limited functionality is making the app unusable.,2,-0.981,2025-02-10,2,49,7,Google Play Store,3.0.54,negative,2025-02
Bank of Abyssinia,The app works perfectly for secure transactions.,5,0.617,2025-02-12,4,48,7,Google Play Store,1.5.29,positive,2025-02
Bank of Abyssinia,The app keeps having problems with buggy updates.,2,-0.406,2024-12-08,1,49,8,Google Play Store,3.8.99,negative,2024-12
Commercial Bank of Ethiopia,Highly recommended for convenient.,4,0.876,2025-05-24,4,34,4,Google Play Store,3.0.37,positive,2025-05
Dashen Bank,The app works perfectly for modern design.,5,0.955,2025-08-12,2,42,7,Google Play Store,3.2.74,positive,2025-08
Commercial Bank of Ethiopia,I love how easy it is to do reliable service.,5,0.486,2025-03-16,4,45,10,Google Play Store,2.4.34,positive,2025-03
Dashen Bank,Excellent experience with innovative features.,5,1.0,2025-08-16,5,46,5,Google Play Store,1.6.50,positive,2025-08
Commercial Bank of Ethiopia,Disappointed with connection errors issues.,1,-0.516,2025-07-17,1,43,5,Google Play Store,4.7.98,negative,2025-07
Commercial Bank of Ethiopia,Disappointed with login problems issues.,2,-0.948,2025-05-03,1,40,5,Google Play Store,1.6.84,negative,2025-05
Commercial Bank of Ethiopia,Please fix the login problems problem!,2,-0.405,2025-01-27,2,38,6,Google Play Store,3.6.91,negative,2025-01
Commercial Bank of Ethiopia,app crashes frequently is making the app unusable.,1,-0.666,2025-02-02,0,50,8,Google Play Store,4.5.54,negative,2025-02
Commercial Bank of Ethiopia,Excellent experience with reliable service.,5,0.638,2025-04-05,5,43,5,Google Play Store,3.2.47,positive,2025-04
Awash Bank,Excellent experience with helpful customer service.,5,0.246,2025-01-14,4,51,6,Google Play Store,4.5.92,positive,2025-01
Commercial Bank of Ethiopia,Disappointed with connection errors issues.,2,-0.509,2025-07-04,2,43,5,Google Play Store,3.2.7,negative,2025-07
Awash Bank,The app works perfectly for useful features.,4,0.342,2025-10-27,0,44,7,Google Play Store,4.4.59,positive,2025-10
Bank of Abyssinia,The app keeps having problems with poor connectivity.,2,-0.297,2025-03-18,1,53,8,Google Play Store,3.7.2,negative,2025-03
Bank of Abyssinia,Excellent experience with secure transactions.,4,1.0,2025-09-28,1,46,5,Google Play Store,2.5.59,positive,2025-09
